Member_number,min,max,count,days_active,avg_per_week,frequency_label
1095,2014-03-25,2015-10-30,8,585,0.09572649572649573,Occasional
1096,2015-07-28,2015-07-28,2,1,14.0,Daily
1097,2014-04-16,2015-11-01,17,565,0.21061946902654868,Occasional
1098,2014-02-25,2015-11-12,24,626,0.268370607028754,Occasional
1099,2014-07-18,2015-08-13,6,392,0.10714285714285714,Occasional
1100,2014-02-20,2015-03-12,10,386,0.18134715025906734,Occasional
1101,2014-09-07,2014-12-28,7,113,0.4336283185840708,Occasional
1102,2014-02-14,2015-06-27,10,499,0.1402805611222445,Occasional
1103,2014-05-25,2014-11-22,10,182,0.38461538461538464,Occasional
1104,2014-05-09,2015-10-27,10,537,0.1303538175046555,Occasional
1105,2014-06-14,2015-05-22,6,343,0.12244897959183673,Occasional
1107,2014-05-15,2015-10-01,20,505,0.27722772277227725,Occasional
1108,2014-05-22,2015-07-30,12,435,0.19310344827586207,Occasional
1109,2014-06-19,2015-04-06,12,292,0.2876712328767123,Occasional
1110,2014-05-30,2015-11-20,18,540,0.23333333333333334,Occasional
1111,2014-03-03,2015-11-20,11,628,0.12261146496815288,Occasional
1112,2015-04-09,2015-04-09,4,1,28.0,Daily
1113,2014-01-07,2015-08-05,11,576,0.13368055555555555,Occasional
1114,2014-04-25,2015-07-10,16,442,0.25339366515837103,Occasional
1115,2014-07-31,2015-01-22,8,176,0.3181818181818182,Occasional
1116,2014-03-06,2015-11-29,24,634,0.26498422712933756,Occasional
1117,2015-05-24,2015-05-24,3,1,21.0,Daily
1118,2014-03-02,2015-12-25,18,664,0.1897590361445783,Occasional
1119,2015-02-04,2015-02-04,2,1,14.0,Daily
1120,2014-08-21,2015-09-26,17,402,0.2960199004975124,Occasional
1121,2014-03-15,2014-03-15,2,1,14.0,Daily
1122,2014-09-25,2015-12-21,6,453,0.09271523178807949,Occasional
1123,2014-08-09,2015-11-12,11,461,0.16702819956616052,Occasional
1124,2014-03-05,2014-08-23,4,172,0.1627906976744186,Occasional
1125,2014-05-30,2015-11-19,11,539,0.14285714285714285,Occasional
1126,2014-11-02,2015-05-17,9,197,0.3197969543147208,Occasional
1127,2014-02-06,2015-10-15,12,617,0.1361426256077796,Occasional
1128,2014-03-27,2015-07-05,10,466,0.15021459227467812,Occasional
1129,2014-01-25,2014-12-21,13,331,0.27492447129909364,Occasional
1130,2014-08-18,2015-09-18,11,397,0.19395465994962216,Occasional
1132,2014-11-22,2015-09-22,10,305,0.22950819672131148,Occasional
1133,2014-03-21,2015-08-03,13,501,0.18163672654690619,Occasional
1134,2014-02-18,2014-12-04,7,290,0.16896551724137931,Occasional
1135,2015-02-24,2015-07-10,10,137,0.510948905109489,Monthly
1136,2014-05-02,2015-11-03,19,551,0.2413793103448276,Occasional
1137,2014-05-16,2015-09-26,6,499,0.08416833667334668,Occasional
1138,2014-07-07,2015-09-02,6,423,0.09929078014184396,Occasional
1139,2014-01-15,2015-01-19,9,370,0.17027027027027028,Occasional
1140,2015-05-01,2015-06-26,8,57,0.9824561403508772,Monthly
1141,2014-04-08,2014-12-15,9,252,0.25,Occasional
1142,2014-05-22,2015-06-13,8,388,0.14432989690721648,Occasional
1143,2014-07-14,2015-04-25,12,286,0.29370629370629375,Occasional
1144,2014-04-08,2015-10-15,16,556,0.2014388489208633,Occasional
1145,2014-06-05,2015-10-07,6,490,0.08571428571428572,Occasional
1146,2014-01-30,2015-09-12,20,591,0.23688663282571912,Occasional
1147,2014-03-04,2014-11-16,6,258,0.16279069767441862,Occasional
1148,2014-01-31,2015-09-27,19,605,0.21983471074380165,Occasional
1149,2015-08-06,2015-12-12,7,129,0.3798449612403101,Occasional
1150,2014-08-29,2015-12-04,10,463,0.1511879049676026,Occasional
1151,2014-12-12,2015-09-17,5,280,0.125,Occasional
1152,2014-12-26,2015-07-19,8,206,0.27184466019417475,Occasional
1153,2014-03-28,2015-12-08,17,621,0.19162640901771338,Occasional
1154,2014-05-15,2015-05-17,9,368,0.17119565217391305,Occasional
1155,2015-04-01,2015-12-27,8,271,0.2066420664206642,Occasional
1156,2015-09-13,2015-09-13,2,1,14.0,Daily
1157,2014-03-21,2014-10-04,7,198,0.2474747474747475,Occasional
1158,2014-02-19,2015-10-17,11,606,0.12706270627062707,Occasional
1159,2014-01-28,2015-06-14,6,503,0.08349900596421471,Occasional
1160,2014-02-04,2015-11-20,15,655,0.1603053435114504,Occasional
1161,2014-01-26,2015-03-14,7,413,0.11864406779661017,Occasional
1162,2014-01-18,2015-08-06,12,566,0.14840989399293286,Occasional
1163,2014-03-11,2015-12-14,9,644,0.09782608695652174,Occasional
1164,2015-02-01,2015-03-30,5,58,0.603448275862069,Monthly
1165,2014-04-01,2015-12-29,9,638,0.0987460815047022,Occasional
1166,2014-02-17,2014-06-03,4,107,0.2616822429906542,Occasional
1167,2014-11-01,2015-02-16,4,108,0.25925925925925924,Occasional
1168,2014-10-31,2015-03-06,9,127,0.49606299212598426,Occasional
1169,2014-01-04,2014-12-15,21,346,0.42485549132947975,Occasional
1170,2014-05-22,2015-12-01,20,559,0.2504472271914132,Occasional
1171,2014-03-01,2015-05-05,10,431,0.16241299303944315,Occasional
1173,2014-04-18,2015-10-22,9,553,0.11392405063291139,Occasional
1174,2014-07-26,2015-02-11,11,201,0.38308457711442784,Occasional
1175,2014-01-02,2015-06-30,19,545,0.2440366972477064,Occasional
1176,2014-05-09,2015-08-17,14,466,0.21030042918454936,Occasional
1177,2015-10-14,2015-10-14,4,1,28.0,Daily
1178,2014-06-15,2015-11-15,11,519,0.1483622350674374,Occasional
1179,2014-06-08,2014-09-11,5,96,0.36458333333333337,Occasional
1180,2014-02-02,2014-08-24,4,204,0.13725490196078433,Occasional
1181,2014-07-13,2015-11-16,8,492,0.11382113821138211,Occasional
1182,2014-06-20,2015-11-29,16,528,0.21212121212121213,Occasional
1183,2015-01-04,2015-06-29,16,177,0.632768361581921,Monthly
1184,2014-06-24,2015-06-16,5,358,0.09776536312849161,Occasional
1185,2014-08-14,2015-08-24,10,376,0.18617021276595744,Occasional
1186,2014-02-09,2015-04-26,9,442,0.1425339366515837,Occasional
1187,2014-06-08,2015-12-12,7,553,0.08860759493670886,Occasional
1188,2014-07-04,2015-01-09,8,190,0.2947368421052632,Occasional
1189,2014-02-23,2014-07-04,4,132,0.21212121212121213,Occasional
1190,2014-04-24,2015-10-27,17,552,0.21557971014492752,Occasional
1191,2014-03-10,2015-08-08,6,517,0.08123791102514506,Occasional
1192,2014-12-27,2015-01-09,5,14,2.5,Weekly
1193,2014-02-16,2015-11-12,4,635,0.044094488188976384,Occasional
1194,2014-01-16,2015-05-13,9,483,0.13043478260869565,Occasional
1195,2014-08-14,2015-11-04,6,448,0.09375,Occasional
1196,2014-01-20,2015-11-27,8,677,0.0827178729689808,Occasional
1197,2014-03-19,2015-11-22,18,614,0.20521172638436483,Occasional
1198,2014-03-22,2015-01-31,7,316,0.1550632911392405,Occasional
1199,2014-03-23,2015-12-10,13,628,0.14490445859872614,Occasional
1200,2014-02-27,2015-09-26,8,577,0.09705372616984402,Occasional
1201,2014-10-24,2014-11-24,4,32,0.875,Monthly
1202,2014-04-21,2015-07-22,10,458,0.15283842794759825,Occasional
1204,2014-01-12,2015-07-23,16,558,0.2007168458781362,Occasional
1205,2014-04-30,2015-03-14,10,319,0.219435736677116,Occasional
1206,2014-02-03,2015-05-15,14,467,0.2098501070663812,Occasional
1207,2014-04-28,2015-11-14,8,566,0.0989399293286219,Occasional
1208,2014-08-03,2015-12-16,11,501,0.1536926147704591,Occasional
1209,2014-03-05,2014-11-11,9,252,0.25,Occasional
1211,2014-11-09,2015-05-24,16,197,0.5685279187817259,Monthly
1212,2014-05-25,2015-07-31,8,433,0.12933025404157045,Occasional
1213,2015-02-07,2015-09-14,13,220,0.41363636363636364,Occasional
1214,2014-07-08,2015-01-10,6,187,0.2245989304812834,Occasional
1215,2014-04-28,2015-01-18,9,266,0.23684210526315788,Occasional
1216,2014-02-07,2015-08-25,14,565,0.17345132743362834,Occasional
1217,2014-07-21,2015-02-18,8,213,0.26291079812206575,Occasional
1218,2014-05-08,2015-12-29,21,601,0.24459234608985023,Occasional
1219,2014-07-03,2014-10-02,4,92,0.30434782608695654,Occasional
1220,2014-11-16,2015-12-29,17,409,0.29095354523227385,Occasional
1221,2014-11-15,2014-11-15,2,1,14.0,Daily
1222,2015-08-07,2015-09-24,4,49,0.5714285714285714,Monthly
1223,2014-09-05,2015-11-30,10,452,0.15486725663716816,Occasional
1224,2014-08-31,2014-09-20,4,21,1.3333333333333333,Monthly
1225,2014-03-03,2015-05-20,21,444,0.3310810810810811,Occasional
1226,2015-04-13,2015-11-12,10,214,0.32710280373831774,Occasional
1227,2014-05-08,2014-05-08,2,1,14.0,Daily
1228,2015-02-23,2015-02-23,3,1,21.0,Daily
1229,2014-07-26,2015-03-20,8,238,0.23529411764705882,Occasional
1230,2014-03-16,2015-11-19,14,614,0.15960912052117265,Occasional
1231,2014-09-29,2015-10-27,16,394,0.28426395939086296,Occasional
1232,2014-08-08,2015-07-01,7,328,0.14939024390243905,Occasional
1233,2014-04-07,2015-08-13,19,494,0.2692307692307692,Occasional
1234,2014-03-16,2015-11-20,10,615,0.11382113821138211,Occasional
1235,2014-05-26,2015-05-29,19,369,0.3604336043360434,Occasional
1236,2014-06-27,2015-05-11,5,319,0.109717868338558,Occasional
1237,2014-01-25,2015-04-09,20,440,0.3181818181818182,Occasional
1238,2015-03-01,2015-03-01,2,1,14.0,Daily
1239,2014-04-18,2015-08-31,16,501,0.22355289421157684,Occasional
1240,2014-07-15,2015-04-14,13,274,0.33211678832116787,Occasional
1241,2014-01-03,2015-05-22,11,505,0.15247524752475247,Occasional
1242,2014-12-16,2015-12-14,17,364,0.3269230769230769,Occasional
1243,2014-01-08,2014-01-08,2,1,14.0,Daily
1244,2014-09-07,2014-11-25,8,80,0.7,Monthly
1245,2014-07-12,2015-12-04,20,511,0.273972602739726,Occasional
1246,2014-03-03,2014-12-29,8,302,0.18543046357615892,Occasional
1247,2014-06-08,2014-10-04,4,119,0.23529411764705882,Occasional
1248,2014-02-01,2015-12-15,16,683,0.16398243045387995,Occasional
1249,2014-01-01,2014-10-11,5,284,0.12323943661971831,Occasional
1250,2014-10-08,2014-10-08,2,1,14.0,Daily
1251,2015-11-26,2015-11-26,3,1,21.0,Daily
1252,2014-08-28,2015-04-13,10,229,0.3056768558951965,Occasional
1253,2014-03-01,2015-06-20,6,477,0.08805031446540881,Occasional
1254,2014-03-03,2015-04-19,5,413,0.0847457627118644,Occasional
1255,2014-09-26,2014-09-26,2,1,14.0,Daily
1256,2014-06-17,2015-08-29,12,439,0.19134396355353075,Occasional
1257,2014-05-19,2014-09-16,4,121,0.23140495867768596,Occasional
1258,2014-05-04,2014-08-09,6,98,0.42857142857142855,Occasional
1259,2014-04-20,2015-11-27,14,587,0.16695059625212946,Occasional
1260,2014-07-09,2014-10-04,4,88,0.3181818181818182,Occasional
1261,2014-10-06,2015-05-21,8,228,0.2456140350877193,Occasional
1262,2014-07-12,2014-07-22,6,11,3.8181818181818183,Weekly
1263,2014-05-11,2014-10-19,4,162,0.1728395061728395,Occasional
1264,2014-12-11,2015-12-07,17,362,0.3287292817679558,Occasional
1265,2014-02-01,2015-10-03,25,610,0.2868852459016394,Occasional
1266,2014-08-27,2014-08-27,2,1,14.0,Daily
1267,2014-05-15,2014-05-15,2,1,14.0,Daily
1268,2014-01-30,2014-10-19,9,263,0.23954372623574147,Occasional
1269,2014-04-14,2015-09-30,14,535,0.18317757009345795,Occasional
1270,2014-07-12,2015-04-25,6,288,0.14583333333333331,Occasional
1272,2014-07-27,2014-07-27,2,1,14.0,Daily
1273,2015-01-31,2015-05-04,4,94,0.2978723404255319,Occasional
1274,2014-04-25,2014-07-10,7,77,0.6363636363636364,Monthly
1275,2014-01-18,2015-10-18,24,639,0.2629107981220657,Occasional
1276,2014-06-07,2015-11-23,13,535,0.17009345794392522,Occasional
1277,2014-01-25,2015-12-01,15,676,0.15532544378698226,Occasional
1278,2014-01-24,2015-12-09,15,685,0.15328467153284672,Occasional
1279,2014-02-13,2015-09-10,17,575,0.20695652173913046,Occasional
1280,2014-03-20,2015-08-12,8,511,0.1095890410958904,Occasional
1281,2014-07-28,2015-06-02,9,310,0.2032258064516129,Occasional
1282,2014-03-06,2015-11-18,10,623,0.11235955056179775,Occasional
1283,2014-02-09,2015-11-13,17,643,0.18506998444790046,Occasional
1284,2014-06-26,2014-09-01,4,68,0.411764705882353,Occasional
1285,2014-01-08,2015-07-21,14,560,0.175,Occasional
1286,2014-04-26,2015-08-12,16,474,0.23628691983122366,Occasional
1287,2014-07-08,2015-08-28,17,417,0.2853717026378897,Occasional
1288,2014-08-20,2014-09-28,7,40,1.2249999999999999,Monthly
1289,2014-05-09,2015-11-08,11,549,0.14025500910746813,Occasional
1290,2014-02-18,2015-09-22,13,582,0.1563573883161512,Occasional
1291,2014-08-01,2015-03-20,12,232,0.3620689655172413,Occasional
1292,2015-07-05,2015-10-24,4,112,0.25,Occasional
1293,2014-08-16,2015-10-26,11,437,0.17620137299771166,Occasional
1294,2014-06-24,2014-12-22,12,182,0.46153846153846156,Occasional
1295,2014-03-13,2015-07-23,8,498,0.11244979919678716,Occasional
1296,2014-02-24,2015-11-23,17,638,0.1865203761755486,Occasional
1297,2014-01-31,2014-12-13,9,317,0.19873817034700317,Occasional
1298,2014-07-26,2015-07-27,7,367,0.1335149863760218,Occasional
1299,2014-02-23,2015-06-03,8,466,0.12017167381974249,Occasional
1300,2014-09-04,2014-09-04,2,1,14.0,Daily
1301,2014-01-30,2015-11-03,7,643,0.07620528771384137,Occasional
1302,2014-11-22,2015-09-29,10,312,0.22435897435897437,Occasional
1303,2014-09-27,2015-09-08,14,347,0.2824207492795389,Occasional
1304,2014-06-07,2015-08-17,7,437,0.11212814645308924,Occasional
1305,2014-07-26,2015-05-24,12,303,0.27722772277227725,Occasional
1306,2015-01-08,2015-11-20,9,317,0.19873817034700317,Occasional
1307,2014-08-29,2015-06-22,12,298,0.2818791946308725,Occasional
1308,2014-01-11,2015-03-14,8,428,0.1308411214953271,Occasional
1309,2014-04-20,2015-04-01,11,347,0.2219020172910663,Occasional
1310,2014-04-13,2014-11-22,4,224,0.125,Occasional
1311,2014-01-14,2015-06-29,8,532,0.10526315789473684,Occasional
1312,2014-09-02,2015-05-18,14,259,0.3783783783783784,Occasional
1313,2015-12-25,2015-12-25,2,1,14.0,Daily
1314,2014-09-05,2014-09-05,2,1,14.0,Daily
1315,2014-12-11,2015-11-07,6,332,0.12650602409638553,Occasional
1316,2014-01-17,2015-03-26,6,434,0.0967741935483871,Occasional
1317,2014-05-19,2014-07-26,6,69,0.608695652173913,Monthly
1318,2014-02-15,2015-09-26,5,589,0.05942275042444822,Occasional
1319,2015-01-10,2015-08-18,9,221,0.2850678733031674,Occasional
1320,2014-01-07,2015-01-19,10,378,0.18518518518518517,Occasional
1321,2014-07-11,2015-04-13,5,277,0.12635379061371843,Occasional
1322,2014-12-11,2015-10-19,15,313,0.33546325878594246,Occasional
1323,2014-06-18,2015-11-03,8,504,0.1111111111111111,Occasional
1324,2015-01-24,2015-12-27,14,338,0.28994082840236685,Occasional
1325,2014-03-29,2015-05-26,9,424,0.14858490566037735,Occasional
1326,2015-02-07,2015-11-09,11,276,0.2789855072463768,Occasional
1327,2014-03-08,2015-08-09,18,520,0.24230769230769228,Occasional
1328,2014-06-06,2015-03-24,10,292,0.23972602739726026,Occasional
1329,2014-01-29,2015-05-23,16,480,0.23333333333333334,Occasional
1330,2014-02-11,2015-11-02,11,630,0.12222222222222222,Occasional
1331,2014-04-06,2015-11-29,9,603,0.10447761194029852,Occasional
1332,2014-04-18,2015-12-02,15,594,0.17676767676767677,Occasional
1333,2014-06-26,2015-09-22,18,454,0.2775330396475771,Occasional
1334,2015-03-07,2015-06-07,5,93,0.3763440860215054,Occasional
1335,2014-01-03,2015-10-18,12,654,0.12844036697247707,Occasional
1336,2014-01-23,2015-04-04,9,437,0.14416475972540047,Occasional
1337,2014-08-06,2015-12-25,4,507,0.055226824457593686,Occasional
1338,2014-04-03,2014-08-11,5,131,0.26717557251908397,Occasional
1339,2014-01-03,2015-11-28,13,695,0.13093525179856114,Occasional
1340,2014-03-29,2015-11-18,14,600,0.16333333333333336,Occasional
1341,2014-04-21,2015-10-30,12,558,0.15053763440860216,Occasional
1342,2014-02-14,2015-02-19,13,371,0.24528301886792453,Occasional
1343,2014-02-07,2015-11-01,10,633,0.11058451816745656,Occasional
1344,2014-01-28,2015-09-04,6,585,0.0717948717948718,Occasional
1345,2014-04-08,2015-07-21,10,470,0.14893617021276598,Occasional
1346,2014-04-09,2015-05-08,7,395,0.1240506329113924,Occasional
1347,2014-07-22,2015-09-15,14,421,0.2327790973871734,Occasional
1348,2015-06-13,2015-09-17,6,97,0.43298969072164945,Occasional
1349,2014-12-13,2015-12-13,11,366,0.2103825136612022,Occasional
1350,2014-02-19,2014-09-03,6,197,0.2131979695431472,Occasional
1351,2014-01-15,2015-02-26,6,408,0.10294117647058823,Occasional
1352,2014-03-03,2014-03-03,2,1,14.0,Daily
1353,2014-06-25,2015-02-09,21,230,0.6391304347826088,Monthly
1354,2014-03-17,2015-12-01,13,625,0.14559999999999998,Occasional
1355,2014-03-29,2015-09-19,13,540,0.16851851851851854,Occasional
1356,2014-08-17,2015-09-08,10,388,0.18041237113402062,Occasional
1357,2015-04-10,2015-09-06,6,150,0.28,Occasional
1358,2014-10-16,2015-12-29,12,440,0.19090909090909092,Occasional
1359,2014-05-29,2014-05-29,4,1,28.0,Daily
1360,2014-01-17,2015-12-16,16,699,0.16022889842632332,Occasional
1361,2014-09-03,2015-09-08,17,371,0.32075471698113206,Occasional
1362,2014-01-03,2015-10-06,5,642,0.0545171339563863,Occasional
1363,2014-07-21,2015-10-14,13,451,0.20177383592017736,Occasional
1364,2014-01-07,2015-07-31,8,571,0.09807355516637478,Occasional
1365,2014-02-01,2015-11-02,12,640,0.13125,Occasional
1366,2014-02-19,2015-11-29,25,649,0.2696456086286595,Occasional
1367,2014-01-31,2015-08-05,5,552,0.06340579710144927,Occasional
1368,2015-07-15,2015-07-15,2,1,14.0,Daily
1369,2014-02-08,2014-12-01,8,297,0.18855218855218855,Occasional
1370,2014-09-09,2015-07-05,13,300,0.30333333333333334,Occasional
1371,2014-08-17,2015-05-11,6,268,0.15671641791044777,Occasional
1372,2014-05-04,2015-06-25,10,418,0.16746411483253587,Occasional
1373,2014-04-28,2015-07-19,14,448,0.21875,Occasional
1374,2014-09-01,2015-08-05,11,339,0.2271386430678466,Occasional
1375,2015-10-11,2015-10-11,2,1,14.0,Daily
1376,2014-04-02,2015-06-30,7,455,0.1076923076923077,Occasional
1377,2014-12-11,2015-03-14,11,94,0.8191489361702128,Monthly
1378,2014-12-10,2015-10-12,4,307,0.09120521172638438,Occasional
1379,2014-02-27,2015-07-13,28,502,0.39043824701195223,Occasional
1380,2014-04-22,2015-11-21,11,579,0.13298791018998274,Occasional
1381,2014-01-01,2015-03-23,15,447,0.23489932885906042,Occasional
1382,2014-05-08,2015-09-29,6,510,0.08235294117647059,Occasional
1383,2014-03-24,2015-02-23,6,337,0.12462908011869435,Occasional
1384,2014-01-24,2015-12-19,15,695,0.1510791366906475,Occasional
1385,2014-02-27,2015-11-26,15,638,0.164576802507837,Occasional
1386,2014-09-19,2015-07-31,6,316,0.13291139240506328,Occasional
1387,2014-03-31,2014-05-31,6,62,0.6774193548387096,Monthly
1388,2014-05-08,2015-04-03,7,331,0.14803625377643506,Occasional
1389,2014-04-29,2015-02-18,8,296,0.1891891891891892,Occasional
1390,2014-07-31,2015-03-02,12,215,0.39069767441860465,Occasional
1391,2014-01-30,2015-08-21,13,569,0.15992970123022845,Occasional
1392,2014-08-15,2015-04-20,6,249,0.16867469879518074,Occasional
1393,2014-06-25,2014-08-26,7,63,0.7777777777777778,Monthly
1394,2015-02-14,2015-05-24,4,100,0.27999999999999997,Occasional
1395,2014-05-20,2015-10-12,23,511,0.3150684931506849,Occasional
1396,2014-12-03,2015-07-22,8,232,0.24137931034482757,Occasional
1397,2015-12-21,2015-12-21,2,1,14.0,Daily
1398,2014-08-23,2015-04-15,8,236,0.23728813559322035,Occasional
1399,2014-02-06,2014-12-10,9,308,0.20454545454545456,Occasional
1400,2014-10-11,2014-10-11,2,1,14.0,Daily
1401,2015-01-27,2015-05-29,4,123,0.22764227642276422,Occasional
1402,2014-10-14,2014-10-14,4,1,28.0,Daily
1403,2014-01-11,2015-05-16,10,491,0.14256619144602853,Occasional
1404,2014-01-26,2015-05-03,18,463,0.27213822894168466,Occasional
1405,2014-05-14,2015-02-28,6,291,0.1443298969072165,Occasional
1406,2015-03-23,2015-12-28,12,281,0.298932384341637,Occasional
1407,2014-07-15,2015-07-29,23,380,0.4236842105263158,Occasional
1408,2014-01-09,2015-07-23,7,561,0.0873440285204991,Occasional
1409,2015-02-17,2015-07-28,6,162,0.25925925925925924,Occasional
1410,2014-01-06,2015-11-08,27,672,0.28125,Occasional
1411,2014-04-15,2015-02-20,4,312,0.08974358974358974,Occasional
1412,2014-06-20,2015-11-16,12,515,0.16310679611650486,Occasional
1413,2014-07-14,2014-12-14,7,154,0.3181818181818182,Occasional
1414,2015-05-24,2015-05-24,2,1,14.0,Daily
1415,2014-01-05,2014-12-28,4,358,0.0782122905027933,Occasional
1416,2014-03-04,2015-08-22,14,537,0.1824953445065177,Occasional
