Member_number,Date,itemDescription,category
2473,01-07-2015,meat,Uncategorized
2810,30-12-2015,frankfurter,Meat
1033,22-04-2015,tropical fruit,Fruits
4222,27-05-2015,tropical fruit,Fruits
3679,21-09-2015,citrus fruit,Fruits
2212,27-08-2015,hamburger meat,Meat
1507,22-06-2015,chicken,Meat
2870,21-01-2015,chicken,Meat
3429,26-04-2015,frankfurter,Meat
4148,09-04-2015,canned beer,Canned Goods
2970,30-12-2015,turkey,Uncategorized
2013,30-08-2015,packaged fruit/vegetables,Fruits
3967,30-05-2015,pasta,Grains & Pasta
2885,15-05-2015,citrus fruit,Fruits
3935,02-07-2015,sausage,Meat
3283,01-05-2015,whole milk,Dairy
3268,06-11-2015,canned beer,Canned Goods
3677,30-04-2015,citrus fruit,Fruits
3495,27-06-2015,liquor (appetizer),Pet Supplies
1410,04-10-2015,citrus fruit,Fruits
2440,06-06-2015,sausage,Meat
4088,13-01-2015,chicken,Meat
2469,23-09-2015,hamburger meat,Meat
4229,06-03-2015,sausage,Meat
2728,02-08-2015,beef,Meat
4694,25-01-2015,citrus fruit,Fruits
2836,29-12-2015,UHT-milk,Dairy
1311,12-02-2015,candy,Uncategorized
1760,23-01-2015,newspapers,Uncategorized
3656,02-03-2015,beef,Meat
3720,28-05-2015,sausage,Meat
2996,26-09-2015,frankfurter,Meat
1949,22-07-2015,canned beer,Canned Goods
4498,11-02-2015,bottled beer,Uncategorized
2447,28-12-2015,onions,Uncategorized
1952,23-03-2015,tropical fruit,Fruits
4099,27-01-2015,bottled water,Beverages
1804,12-03-2015,beef,Meat
1510,16-05-2015,sausage,Meat
2879,18-04-2015,hair spray,Uncategorized
4899,12-03-2015,chicken,Meat
4326,29-09-2015,pork,Meat
1670,17-05-2015,ice cream,Dairy
1117,24-05-2015,meat,Uncategorized
1346,03-04-2015,other vegetables,Vegetables
1178,15-11-2015,bottled water,Beverages
1649,25-06-2015,tropical fruit,Fruits
4651,21-06-2015,photo/film,Uncategorized
4243,02-04-2015,sausage,Meat
4429,21-07-2015,grapes,Uncategorized
4645,25-07-2015,domestic eggs,Uncategorized
4019,24-07-2015,rolls/buns,Bakery
4459,26-04-2015,tropical fruit,Fruits
3006,27-12-2015,chicken,Meat
1834,17-09-2015,frankfurter,Meat
3236,04-07-2015,berries,Uncategorized
1765,11-03-2015,margarine,Uncategorized
3855,09-03-2015,tropical fruit,Fruits
4392,28-11-2015,ham,Meat
3330,26-07-2015,hamburger meat,Meat
1723,02-09-2015,yogurt,Dairy
4110,30-03-2015,soda,Beverages
2600,28-01-2015,yogurt,Dairy
2946,07-10-2015,soda,Beverages
2426,08-09-2015,bottled water,Beverages
4170,03-05-2015,sausage,Meat
1109,06-04-2015,citrus fruit,Fruits
3429,04-01-2015,shopping bags,Uncategorized
2055,04-02-2015,newspapers,Uncategorized
2480,20-09-2015,frankfurter,Meat
2441,30-05-2015,sausage,Meat
1054,04-10-2015,frankfurter,Meat
4818,11-01-2015,salt,Dry Goods
3379,21-01-2015,oil,Uncategorized
3939,10-02-2015,curd,Uncategorized
1367,05-08-2015,other vegetables,Vegetables
1043,10-01-2015,citrus fruit,Fruits
2231,17-10-2015,frankfurter,Meat
3235,28-12-2015,root vegetables,Vegetables
4554,16-07-2015,tropical fruit,Fruits
3245,24-01-2015,beef,Meat
2996,19-05-2015,berries,Uncategorized
2507,05-01-2015,canned beer,Canned Goods
4186,25-10-2015,whipped/sour cream,Dairy
3929,28-04-2015,root vegetables,Vegetables
3760,22-11-2015,whole milk,Dairy
4928,18-08-2015,beef,Meat
4217,18-12-2015,frozen vegetables,Vegetables
1174,11-02-2015,rolls/buns,Bakery
4103,19-06-2015,whole milk,Dairy
4408,13-03-2015,whole milk,Dairy
2588,28-12-2015,citrus fruit,Fruits
2598,11-11-2015,pastry,Bakery
1518,11-12-2015,frankfurter,Meat
2702,08-04-2015,tropical fruit,Fruits
1001,20-01-2015,frankfurter,Meat
2270,30-09-2015,berries,Uncategorized
2838,10-11-2015,rolls/buns,Bakery
1683,26-05-2015,root vegetables,Vegetables
4040,03-04-2015,yogurt,Dairy
3897,23-08-2015,other vegetables,Vegetables
2200,11-03-2015,berries,Uncategorized
4073,29-01-2015,berries,Uncategorized
3700,19-04-2015,other vegetables,Vegetables
3973,10-06-2015,rolls/buns,Bakery
2715,06-07-2015,ham,Meat
3967,23-11-2015,whole milk,Dairy
4002,03-09-2015,tropical fruit,Fruits
2962,01-03-2015,bottled water,Beverages
4340,25-12-2015,butter milk,Dairy
2092,06-11-2015,newspapers,Uncategorized
3143,24-05-2015,coffee,Beverages
2209,03-10-2015,bottled beer,Uncategorized
2816,22-08-2015,onions,Uncategorized
2659,01-06-2015,hamburger meat,Meat
1588,13-10-2015,sausage,Meat
1144,15-10-2015,hard cheese,Dairy
2166,10-12-2015,sausage,Meat
3300,06-10-2015,hamburger meat,Meat
3944,03-01-2015,onions,Uncategorized
4979,24-04-2015,coffee,Beverages
2630,21-01-2015,shopping bags,Uncategorized
4240,29-04-2015,yogurt,Dairy
2357,08-07-2015,soda,Beverages
1743,18-04-2015,sliced cheese,Dairy
2331,15-02-2015,sausage,Meat
1643,28-04-2015,yogurt,Dairy
1291,20-03-2015,domestic eggs,Uncategorized
3675,04-07-2015,whole milk,Dairy
4134,06-11-2015,meat,Uncategorized
1363,21-06-2015,dish cleaner,Household
4212,01-05-2015,other vegetables,Vegetables
1500,21-03-2015,whole milk,Dairy
2622,01-10-2015,other vegetables,Vegetables
3543,18-03-2015,tropical fruit,Fruits
2525,24-05-2015,baking powder,Uncategorized
1264,12-10-2015,specialty bar,Snacks
3601,06-07-2015,ice cream,Dairy
1771,23-03-2015,frankfurter,Meat
4694,06-02-2015,canned beer,Canned Goods
1122,21-12-2015,bottled water,Beverages
3507,12-08-2015,other vegetables,Vegetables
4524,26-04-2015,citrus fruit,Fruits
3612,27-09-2015,sausage,Meat
3262,11-06-2015,domestic eggs,Uncategorized
1897,25-01-2015,pork,Meat
1656,30-10-2015,specialty cheese,Dairy
3953,10-01-2015,pork,Meat
1488,21-06-2015,beef,Meat
1652,17-03-2015,other vegetables,Vegetables
4953,16-09-2015,chicken,Meat
3445,30-04-2015,soda,Beverages
3180,15-03-2015,whole milk,Dairy
4934,06-09-2015,rolls/buns,Bakery
2980,27-04-2015,bottled beer,Uncategorized
2763,13-02-2015,root vegetables,Vegetables
4819,04-03-2015,pastry,Bakery
3169,02-07-2015,berries,Uncategorized
1850,11-03-2015,citrus fruit,Fruits
4285,29-12-2015,whole milk,Dairy
4366,13-08-2015,soda,Beverages
2253,16-06-2015,bottled water,Beverages
3398,11-03-2015,tropical fruit,Fruits
2215,22-07-2015,salty snack,Snacks
3737,03-03-2015,bottled water,Beverages
2649,28-11-2015,chocolate,Snacks
3203,07-08-2015,citrus fruit,Fruits
4261,16-02-2015,bottled water,Beverages
2435,17-07-2015,onions,Uncategorized
2046,21-08-2015,dessert,Uncategorized
4267,11-02-2015,beef,Meat
1086,28-12-2015,rolls/buns,Bakery
1992,04-01-2015,beef,Meat
3622,26-07-2015,soda,Beverages
4700,27-06-2015,coffee,Beverages
2272,16-05-2015,rolls/buns,Bakery
1663,19-05-2015,pork,Meat
2519,03-06-2015,soda,Beverages
2639,30-10-2015,sausage,Meat
1466,19-04-2015,beef,Meat
4122,23-10-2015,whole milk,Dairy
3598,15-04-2015,pork,Meat
3097,10-08-2015,berries,Uncategorized
1873,19-09-2015,sausage,Meat
1537,01-02-2015,bottled water,Beverages
3960,25-03-2015,tropical fruit,Fruits
1136,15-06-2015,herbs,Spices & Seasonings
2453,21-12-2015,yogurt,Dairy
1746,15-02-2015,Instant food products,Uncategorized
3572,09-06-2015,specialty chocolate,Snacks
3246,24-06-2015,coffee,Beverages
3207,26-11-2015,bottled beer,Uncategorized
1042,12-02-2015,beef,Meat
1176,30-03-2015,whole milk,Dairy
3054,23-02-2015,frankfurter,Meat
4486,02-12-2015,frankfurter,Meat
1580,05-12-2015,other vegetables,Vegetables
1623,02-11-2015,frankfurter,Meat
4169,24-11-2015,whole milk,Dairy
2254,24-01-2015,frankfurter,Meat
4095,01-11-2015,other vegetables,Vegetables
1264,17-11-2015,bottled water,Beverages
3375,06-01-2015,pork,Meat
3242,23-05-2015,bottled water,Beverages
2227,07-06-2015,other vegetables,Vegetables
3847,03-12-2015,hamburger meat,Meat
3897,31-05-2015,hamburger meat,Meat
1799,27-09-2015,shopping bags,Uncategorized
2920,26-04-2015,whole milk,Dairy
3713,31-01-2015,ice cream,Dairy
4230,05-11-2015,pastry,Bakery
1455,18-03-2015,ham,Meat
3687,18-03-2015,frankfurter,Meat
3869,01-08-2015,sausage,Meat
2988,14-10-2015,bottled beer,Uncategorized
4242,30-03-2015,bottled water,Beverages
4118,24-12-2015,meat,Uncategorized
4996,24-10-2015,dessert,Uncategorized
4489,04-03-2015,other vegetables,Vegetables
1199,09-11-2015,beverages,Uncategorized
4108,12-05-2015,ham,Meat
3484,05-06-2015,specialty bar,Snacks
1239,31-08-2015,brown bread,Bakery
4839,19-12-2015,whole milk,Dairy
4748,07-05-2015,rolls/buns,Bakery
4426,06-06-2015,bottled beer,Uncategorized
3571,11-12-2015,pet care,Pet Supplies
2852,08-06-2015,citrus fruit,Fruits
3638,26-05-2015,pork,Meat
3635,10-03-2015,other vegetables,Vegetables
2723,07-05-2015,white wine,Uncategorized
3495,11-03-2015,whole milk,Dairy
2813,16-11-2015,pip fruit,Fruits
2799,02-09-2015,sugar,Dry Goods
4723,22-05-2015,tropical fruit,Fruits
3313,08-04-2015,root vegetables,Vegetables
4748,15-12-2015,soda,Beverages
2991,16-02-2015,whole milk,Dairy
1483,01-04-2015,tropical fruit,Fruits
3950,01-10-2015,white bread,Bakery
1634,16-01-2015,brown bread,Bakery
2694,21-11-2015,tropical fruit,Fruits
2707,18-10-2015,domestic eggs,Uncategorized
2813,16-07-2015,coffee,Beverages
2276,11-01-2015,soda,Beverages
4726,06-02-2015,whole milk,Dairy
4353,25-05-2015,bottled beer,Uncategorized
4017,13-08-2015,pork,Meat
1422,21-08-2015,other vegetables,Vegetables
2714,15-03-2015,yogurt,Dairy
2769,21-07-2015,sparkling wine,Uncategorized
4166,30-04-2015,bottled water,Beverages
3614,02-03-2015,citrus fruit,Fruits
4361,05-09-2015,hamburger meat,Meat
1922,22-09-2015,packaged fruit/vegetables,Fruits
4728,06-09-2015,other vegetables,Vegetables
3646,08-08-2015,soda,Beverages
1155,10-08-2015,whole milk,Dairy
2119,11-06-2015,herbs,Spices & Seasonings
1602,29-08-2015,citrus fruit,Fruits
1074,24-06-2015,misc. beverages,Uncategorized
2256,11-04-2015,female sanitary products,Uncategorized
1348,17-09-2015,soda,Beverages
3806,28-08-2015,tropical fruit,Fruits
1711,06-06-2015,soda,Beverages
3959,12-04-2015,white bread,Bakery
1590,15-08-2015,coffee,Beverages
1962,08-06-2015,tropical fruit,Fruits
1766,21-01-2015,pork,Meat
2551,21-10-2015,citrus fruit,Fruits
2294,23-09-2015,frankfurter,Meat
4531,29-05-2015,frankfurter,Meat
2957,12-04-2015,frankfurter,Meat
4415,27-01-2015,other vegetables,Vegetables
1476,26-08-2015,yogurt,Dairy
3978,23-07-2015,sausage,Meat
2062,22-09-2015,whole milk,Dairy
3252,28-06-2015,pip fruit,Fruits
3922,24-06-2015,whole milk,Dairy
1491,17-10-2015,root vegetables,Vegetables
3526,26-08-2015,onions,Uncategorized
4060,11-12-2015,specialty chocolate,Snacks
1067,08-04-2015,hamburger meat,Meat
2840,27-01-2015,photo/film,Uncategorized
4484,27-11-2015,rolls/buns,Bakery
2353,07-02-2015,canned beer,Canned Goods
3130,18-02-2015,canned beer,Canned Goods
4273,14-06-2015,other vegetables,Vegetables
4565,30-12-2015,canned beer,Canned Goods
2504,14-08-2015,curd,Uncategorized
4127,23-10-2015,butter,Dairy
2690,01-04-2015,other vegetables,Vegetables
4129,22-09-2015,whole milk,Dairy
4511,29-06-2015,beef,Meat
1602,04-08-2015,sausage,Meat
4369,01-02-2015,soda,Beverages
1302,29-09-2015,fruit/vegetable juice,Fruits
3326,30-04-2015,rolls/buns,Bakery
2066,21-05-2015,pip fruit,Fruits
3483,15-01-2015,frozen vegetables,Vegetables
2840,12-02-2015,beverages,Uncategorized
1807,18-05-2015,hamburger meat,Meat
2067,12-08-2015,root vegetables,Vegetables
3783,17-02-2015,canned beer,Canned Goods
2884,04-01-2015,frozen vegetables,Vegetables
2908,15-03-2015,canned beer,Canned Goods
1330,10-07-2015,newspapers,Uncategorized
2293,08-05-2015,rolls/buns,Bakery
3718,20-05-2015,hamburger meat,Meat
4338,25-01-2015,pip fruit,Fruits
3486,08-11-2015,canned beer,Canned Goods
3635,04-09-2015,grapes,Uncategorized
2857,18-02-2015,root vegetables,Vegetables
3684,13-08-2015,citrus fruit,Fruits
3120,20-10-2015,cling film/bags,Uncategorized
3872,19-03-2015,frankfurter,Meat
2777,07-04-2015,whole milk,Dairy
2702,27-05-2015,pork,Meat
4796,29-06-2015,chicken,Meat
1564,23-10-2015,sausage,Meat
2740,02-07-2015,specialty bar,Snacks
1833,13-04-2015,whipped/sour cream,Dairy
1757,23-12-2015,root vegetables,Vegetables
2975,24-10-2015,rolls/buns,Bakery
4032,10-08-2015,other vegetables,Vegetables
3979,16-09-2015,citrus fruit,Fruits
3772,09-03-2015,whole milk,Dairy
4523,28-10-2015,frankfurter,Meat
4004,19-04-2015,coffee,Beverages
2936,08-06-2015,ham,Meat
2394,21-06-2015,canned beer,Canned Goods
4616,16-08-2015,canned beer,Canned Goods
2362,08-07-2015,canned beer,Canned Goods
3593,03-11-2015,pip fruit,Fruits
4389,27-08-2015,pork,Meat
3206,11-08-2015,soap,Personal Care
4601,04-01-2015,pip fruit,Fruits
4382,13-11-2015,beef,Meat
2718,08-06-2015,sausage,Meat
4691,12-10-2015,frozen chicken,Meat
3735,28-11-2015,soda,Beverages
3900,20-12-2015,tropical fruit,Fruits
4959,30-06-2015,other vegetables,Vegetables
1815,30-08-2015,beef,Meat
2454,08-04-2015,meat,Uncategorized
4778,15-01-2015,meat,Uncategorized
2289,04-11-2015,bottled water,Beverages
1734,13-07-2015,rolls/buns,Bakery
4019,05-02-2015,pastry,Bakery
4605,28-05-2015,pork,Meat
4864,14-11-2015,pip fruit,Fruits
4205,22-02-2015,beef,Meat
1862,03-08-2015,beef,Meat
1846,19-07-2015,rolls/buns,Bakery
2019,28-05-2015,citrus fruit,Fruits
2042,19-11-2015,meat,Uncategorized
1768,26-05-2015,beverages,Uncategorized
3847,26-03-2015,beef,Meat
3557,20-07-2015,ham,Meat
3975,27-02-2015,hamburger meat,Meat
4198,18-03-2015,beef,Meat
2580,04-09-2015,beef,Meat
3474,25-08-2015,root vegetables,Vegetables
1678,14-11-2015,citrus fruit,Fruits
4254,14-08-2015,yogurt,Dairy
4704,21-08-2015,tropical fruit,Fruits
3343,10-05-2015,frankfurter,Meat
3812,24-06-2015,beef,Meat
3093,13-03-2015,shopping bags,Uncategorized
2170,18-06-2015,canned beer,Canned Goods
4867,29-10-2015,rolls/buns,Bakery
3899,23-03-2015,other vegetables,Vegetables
2941,03-10-2015,hamburger meat,Meat
1958,03-07-2015,hamburger meat,Meat
2760,08-08-2015,frankfurter,Meat
4413,03-08-2015,bottled beer,Uncategorized
1737,15-05-2015,tropical fruit,Fruits
4202,18-02-2015,soda,Beverages
1065,13-11-2015,frankfurter,Meat
3819,28-06-2015,chicken,Meat
2854,08-02-2015,coffee,Beverages
4387,16-09-2015,whole milk,Dairy
4530,12-04-2015,margarine,Uncategorized
4191,03-11-2015,tropical fruit,Fruits
3102,04-12-2015,meat,Uncategorized
1946,25-01-2015,cream cheese ,Dairy
2156,15-05-2015,newspapers,Uncategorized
1444,16-12-2015,rolls/buns,Bakery
1699,14-05-2015,citrus fruit,Fruits
4954,04-05-2015,whole milk,Dairy
2207,08-04-2015,frankfurter,Meat
4826,28-01-2015,ham,Meat
2374,08-06-2015,frankfurter,Meat
1604,18-08-2015,sausage,Meat
4437,29-11-2015,domestic eggs,Uncategorized
2319,10-05-2015,whole milk,Dairy
3018,27-06-2015,rolls/buns,Bakery
1195,28-09-2015,whole milk,Dairy
1768,04-09-2015,sausage,Meat
3017,28-09-2015,curd,Uncategorized
3384,29-11-2015,bottled water,Beverages
1918,30-01-2015,beef,Meat
2524,17-10-2015,frankfurter,Meat
2798,17-06-2015,chicken,Meat
2096,25-01-2015,sausage,Meat
1489,13-03-2015,pork,Meat
1431,20-07-2015,yogurt,Dairy
2747,05-07-2015,whole milk,Dairy
3054,22-03-2015,frankfurter,Meat
2691,09-10-2015,beef,Meat
1752,19-04-2015,pip fruit,Fruits
3027,15-09-2015,sausage,Meat
